2023-07-18 12:54:00.982 - INFO - O servidor foi iniciado no endereço 127.0.0.1:8088.
2023-07-18 12:54:15.679 - INFO - Mensagem recebida: [R] Request 1|19728|00; Origem: 19728
2023-07-18 12:54:15.679 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19728
2023-07-18 12:54:16.026 - INFO - Mensagem recebida: [R] Request 1|18500|00; Origem: 18500
2023-07-18 12:54:16.608 - INFO - Mensagem recebida: [R] Release 3|19728|00; Origem: 19728
2023-07-18 12:54:16.609 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 18500
2023-07-18 12:54:16.908 - INFO - Mensagem recebida: [R] Request 1|19728|00; Origem: 19728
2023-07-18 12:54:17.163 - INFO - Mensagem recebida: [R] Release 3|18500|00; Origem: 18500
2023-07-18 12:54:17.164 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19728
2023-07-18 12:54:17.382 - INFO - Mensagem recebida: [R] Request 1|18500|00; Origem: 18500
2023-07-18 12:54:17.477 - INFO - Mensagem recebida: [R] Request 1|6476|000; Origem: 6476
2023-07-18 12:54:18.124 - INFO - Mensagem recebida: [R] Release 3|19728|00; Origem: 19728
2023-07-18 12:54:18.124 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 18500
2023-07-18 12:54:18.155 - INFO - Mensagem recebida: [R] Request 1|19728|00; Origem: 19728
2023-07-18 12:54:18.326 - INFO - Mensagem recebida: [R] Request 1|16764|00; Origem: 16764
2023-07-18 12:54:18.596 - INFO - Mensagem recebida: [R] Release 3|18500|00; Origem: 18500
2023-07-18 12:54:18.596 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 6476
2023-07-18 12:54:18.740 - INFO - Mensagem recebida: [R] Request 1|18500|00; Origem: 18500
2023-07-18 12:54:18.770 - INFO - Mensagem recebida: [R] Request 1|15368|00; Origem: 15368
2023-07-18 12:54:19.211 - INFO - Mensagem recebida: [R] Release 3|6476|000; Origem: 6476
2023-07-18 12:54:19.212 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19728
2023-07-18 12:54:19.227 - INFO - Mensagem recebida: [R] Release 3|19728|00; Origem: 19728
2023-07-18 12:54:19.227 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 16764
2023-07-18 12:54:19.258 - INFO - Mensagem recebida: [R] Release 3|16764|00; Origem: 16764
2023-07-18 12:54:19.258 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 18500
2023-07-18 12:54:19.321 - INFO - Mensagem recebida: [R] Request 1|11260|00; Origem: 11260
2023-07-18 12:54:19.339 - INFO - Mensagem recebida: [R] Request 1|16764|00; Origem: 16764
2023-07-18 12:54:19.355 - INFO - Mensagem recebida: [R] Request 1|6476|000; Origem: 6476
2023-07-18 12:54:20.000 - INFO - Mensagem recebida: [R] Request 1|19672|00; Origem: 19672
2023-07-18 12:54:20.267 - INFO - Mensagem recebida: [R] Release 3|18500|00; Origem: 18500
2023-07-18 12:54:20.267 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 15368
2023-07-18 12:54:20.666 - INFO - Mensagem recebida: [R] Release 3|15368|00; Origem: 15368
2023-07-18 12:54:20.666 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 11260
2023-07-18 12:54:20.682 - INFO - Mensagem recebida: [R] Release 3|11260|00; Origem: 11260
2023-07-18 12:54:20.682 - INFO - Mensagem recebida: [R] Request 1|11260|00; Origem: 11260
2023-07-18 12:54:20.684 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 16764
2023-07-18 12:54:20.745 - INFO - Mensagem recebida: [R] Request 1|20096|00; Origem: 20096
2023-07-18 12:54:20.787 - INFO - Mensagem recebida: [R] Request 1|15368|00; Origem: 15368
2023-07-18 12:54:21.184 - INFO - Mensagem recebida: [R] Request 1|14248|00; Origem: 14248
2023-07-18 12:54:21.200 - INFO - Mensagem recebida: [R] Release 3|16764|00; Origem: 16764
2023-07-18 12:54:21.200 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 6476
2023-07-18 12:54:21.343 - INFO - Mensagem recebida: [R] Request 1|16764|00; Origem: 16764
2023-07-18 12:54:21.422 - INFO - Mensagem recebida: [R] Release 3|6476|000; Origem: 6476
2023-07-18 12:54:21.422 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19672
2023-07-18 12:54:21.488 - INFO - Mensagem recebida: [R] Request 1|6476|000; Origem: 6476
2023-07-18 12:54:21.732 - INFO - Mensagem recebida: [R] Request 1|19688|00; Origem: 19688
2023-07-18 12:54:21.825 - INFO - Mensagem recebida: [R] Release 3|19672|00; Origem: 19672
2023-07-18 12:54:21.826 - INFO - Mensagem recebida: [R] Request 1|15540|00; Origem: 15540
2023-07-18 12:54:21.826 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 11260
2023-07-18 12:54:21.843 - INFO - Mensagem recebida: [R] Release 3|11260|00; Origem: 11260
2023-07-18 12:54:21.843 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 20096
2023-07-18 12:54:21.858 - INFO - Mensagem recebida: [R] Release 3|20096|00; Origem: 20096
2023-07-18 12:54:21.859 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 15368
2023-07-18 12:54:21.937 - INFO - Mensagem recebida: [R] Request 1|19672|00; Origem: 19672
2023-07-18 12:54:21.953 - INFO - Mensagem recebida: [R] Request 1|20096|00; Origem: 20096
2023-07-18 12:54:22.267 - INFO - Mensagem recebida: [R] Request 1|11260|00; Origem: 11260
2023-07-18 12:54:22.314 - INFO - Mensagem recebida: [R] Release 3|15368|00; Origem: 15368
2023-07-18 12:54:22.314 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 14248
2023-07-18 12:54:22.392 - INFO - Mensagem recebida: [R] Request 1|15368|00; Origem: 15368
2023-07-18 12:54:22.549 - INFO - Mensagem recebida: [R] Release 3|14248|00; Origem: 14248
2023-07-18 12:54:22.549 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 16764
2023-07-18 12:54:22.598 - INFO - Mensagem recebida: [R] Release 3|16764|00; Origem: 16764
2023-07-18 12:54:22.599 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 6476
2023-07-18 12:54:22.628 - INFO - Mensagem recebida: [R] Request 1|14248|00; Origem: 14248
2023-07-18 12:54:22.676 - INFO - Mensagem recebida: [R] Request 1|21580|00; Origem: 21580
2023-07-18 12:54:22.722 - INFO - Mensagem recebida: [R] Request 1|19840|00; Origem: 19840
2023-07-18 12:54:22.972 - INFO - Mensagem recebida: [R] Release 3|6476|000; Origem: 6476
2023-07-18 12:54:22.972 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19688
2023-07-18 12:54:23.068 - INFO - Mensagem recebida: [R] Request 1|18088|00; Origem: 18088
2023-07-18 12:54:23.462 - INFO - Mensagem recebida: [R] Request 1|21288|00; Origem: 21288
2023-07-18 12:54:23.667 - INFO - Mensagem recebida: [R] Release 3|19688|00; Origem: 19688
2023-07-18 12:54:23.667 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 15540
2023-07-18 12:54:23.857 - INFO - Mensagem recebida: [R] Request 1|19688|00; Origem: 19688
2023-07-18 12:54:24.065 - INFO - Mensagem recebida: [R] Request 1|16360|00; Origem: 16360
2023-07-18 12:54:24.414 - INFO - Mensagem recebida: [R] Release 3|15540|00; Origem: 15540
2023-07-18 12:54:24.414 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19672
2023-07-18 12:54:24.492 - INFO - Mensagem recebida: [R] Request 1|20980|00; Origem: 20980
2023-07-18 12:54:24.650 - INFO - Mensagem recebida: [R] Request 1|15540|00; Origem: 15540
2023-07-18 12:54:24.982 - INFO - Mensagem recebida: [R] Release 3|19672|00; Origem: 19672
2023-07-18 12:54:24.983 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 20096
2023-07-18 12:54:24.998 - INFO - Mensagem recebida: [R] Release 3|20096|00; Origem: 20096
2023-07-18 12:54:24.998 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 11260
2023-07-18 12:54:25.076 - INFO - Mensagem recebida: [R] Request 1|19672|00; Origem: 19672
2023-07-18 12:54:25.202 - INFO - Mensagem recebida: [R] Request 1|20096|00; Origem: 20096
2023-07-18 12:54:25.264 - INFO - Mensagem recebida: [R] Request 1|21552|00; Origem: 21552
2023-07-18 12:54:25.470 - INFO - Mensagem recebida: [R] Release 3|11260|00; Origem: 11260
2023-07-18 12:54:25.470 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 15368
2023-07-18 12:54:25.522 - INFO - Mensagem recebida: [R] Release 3|15368|00; Origem: 15368
2023-07-18 12:54:25.522 - INFO - Mensagem recebida: [R] Request 1|16656|00; Origem: 16656
2023-07-18 12:54:25.522 - INFO - Mensagem recebida: [R] Request 1|22372|00; Origem: 22372
2023-07-18 12:54:25.522 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 14248
2023-07-18 12:54:25.943 - INFO - Mensagem recebida: [R] Request 1|18276|00; Origem: 18276
2023-07-18 12:54:26.101 - INFO - Mensagem recebida: [R] Release 3|14248|00; Origem: 14248
2023-07-18 12:54:26.101 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21580
2023-07-18 12:54:26.372 - INFO - Mensagem recebida: [R] Release 3|21580|00; Origem: 21580
2023-07-18 12:54:26.373 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19840
2023-07-18 12:54:26.387 - INFO - Mensagem recebida: [R] Release 3|19840|00; Origem: 19840
2023-07-18 12:54:26.387 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 18088
2023-07-18 12:54:26.434 - INFO - Mensagem recebida: [R] Request 1|14248|00; Origem: 14248
2023-07-18 12:54:26.450 - INFO - Mensagem recebida: [R] Request 1|22048|00; Origem: 22048
2023-07-18 12:54:26.450 - INFO - Mensagem recebida: [R] Request 1|19840|00; Origem: 19840
2023-07-18 12:54:26.465 - INFO - Mensagem recebida: [R] Request 1|21580|00; Origem: 21580
2023-07-18 12:54:26.716 - INFO - Mensagem recebida: [R] Release 3|18088|00; Origem: 18088
2023-07-18 12:54:26.716 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21288
2023-07-18 12:54:26.764 - INFO - Mensagem recebida: [R] Release 3|21288|00; Origem: 21288
2023-07-18 12:54:26.764 - INFO - Mensagem recebida: [R] Request 1|18088|00; Origem: 18088
2023-07-18 12:54:26.764 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19688
2023-07-18 12:54:26.811 - INFO - Mensagem recebida: [R] Request 1|21288|00; Origem: 21288
2023-07-18 12:54:26.826 - INFO - Mensagem recebida: [R] Request 1|15432|00; Origem: 15432
2023-07-18 12:54:27.452 - INFO - Mensagem recebida: [R] Release 3|19688|00; Origem: 19688
2023-07-18 12:54:27.452 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 16360
2023-07-18 12:54:27.484 - INFO - Mensagem recebida: [R] Request 1|13632|00; Origem: 13632
2023-07-18 12:54:27.626 - INFO - Mensagem recebida: [R] Release 3|16360|00; Origem: 16360
2023-07-18 12:54:27.627 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 20980
2023-07-18 12:54:27.680 - INFO - Mensagem recebida: [R] Request 1|19688|00; Origem: 19688
2023-07-18 12:54:27.689 - INFO - Mensagem recebida: [R] Request 1|16360|00; Origem: 16360
2023-07-18 12:54:27.875 - INFO - Mensagem recebida: [R] Request 1|20028|00; Origem: 20028
2023-07-18 12:54:27.985 - INFO - Mensagem recebida: [R] Request 1|19424|00; Origem: 19424
2023-07-18 12:54:28.095 - INFO - Mensagem recebida: [R] Release 3|20980|00; Origem: 20980
2023-07-18 12:54:28.095 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 15540
2023-07-18 12:54:28.143 - INFO - Mensagem recebida: [R] Request 1|20980|00; Origem: 20980
2023-07-18 12:54:28.190 - INFO - Mensagem recebida: [R] Request 1|9916|000; Origem: 9916
2023-07-18 12:54:28.316 - INFO - Mensagem recebida: [R] Release 3|15540|00; Origem: 15540
2023-07-18 12:54:28.316 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19672
