2023-07-18 14:23:35.648 - INFO - O servidor foi iniciado no endereço 127.0.0.1:8088.
2023-07-18 14:23:48.459 - INFO - Mensagem recebida: [R] Request 1|21084|00; Origem: 21084
2023-07-18 14:23:48.460 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21084
2023-07-18 14:23:48.602 - INFO - Mensagem recebida: [R] Release 3|21084|00; Origem: 21084
2023-07-18 14:23:48.602 - INFO - Fila de pedidos vazia. Nenhum processo em espera.
2023-07-18 14:23:48.652 - INFO - Mensagem recebida: [R] Request 1|21084|00; Origem: 21084
2023-07-18 14:23:48.652 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21084
2023-07-18 14:23:48.853 - INFO - Mensagem recebida: [R] Release 3|21084|00; Origem: 21084
2023-07-18 14:23:48.853 - INFO - Fila de pedidos vazia. Nenhum processo em espera.
2023-07-18 14:23:48.933 - INFO - Mensagem recebida: [R] Request 1|21084|00; Origem: 21084
2023-07-18 14:23:48.934 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21084
2023-07-18 14:23:49.171 - INFO - Mensagem recebida: [R] Release 3|21084|00; Origem: 21084
2023-07-18 14:23:49.171 - INFO - Fila de pedidos vazia. Nenhum processo em espera.
2023-07-18 14:23:49.924 - INFO - Mensagem recebida: [R] Request 1|21604|00; Origem: 21604
2023-07-18 14:23:49.924 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21604
2023-07-18 14:23:50.067 - INFO - Mensagem recebida: [R] Release 3|21604|00; Origem: 21604
2023-07-18 14:23:50.067 - INFO - Fila de pedidos vazia. Nenhum processo em espera.
2023-07-18 14:23:50.146 - INFO - Mensagem recebida: [R] Request 1|19196|00; Origem: 19196
2023-07-18 14:23:50.146 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19196
2023-07-18 14:23:50.290 - INFO - Mensagem recebida: [R] Request 1|21604|00; Origem: 21604
2023-07-18 14:23:50.447 - INFO - Mensagem recebida: [R] Release 3|19196|00; Origem: 19196
2023-07-18 14:23:50.447 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21604
2023-07-18 14:23:50.604 - INFO - Mensagem recebida: [R] Request 1|2056|000; Origem: 2056
2023-07-18 14:23:50.700 - INFO - Mensagem recebida: [R] Release 3|21604|00; Origem: 21604
2023-07-18 14:23:50.700 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 2056
2023-07-18 14:23:50.734 - INFO - Mensagem recebida: [R] Release 3|2056|000; Origem: 2056
2023-07-18 14:23:50.734 - INFO - Fila de pedidos vazia. Nenhum processo em espera.
2023-07-18 14:23:50.734 - INFO - Mensagem recebida: [R] Request 1|2056|000; Origem: 2056
2023-07-18 14:23:50.734 - INFO - Mensagem recebida: [R] Request 1|19196|00; Origem: 19196
2023-07-18 14:23:50.735 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 2056
2023-07-18 14:23:50.747 - INFO - Mensagem recebida: [R] Release 3|2056|000; Origem: 2056
2023-07-18 14:23:50.747 - INFO - Mensagem recebida: [R] Request 1|21604|00; Origem: 21604
2023-07-18 14:23:50.747 - INFO - Mensagem recebida: [R] Request 1|2056|000; Origem: 2056
2023-07-18 14:23:50.747 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 19196
2023-07-18 14:23:50.843 - INFO - Mensagem recebida: [R] Release 3|19196|00; Origem: 19196
2023-07-18 14:23:50.844 - INFO - Mensagem enviada: [S] Grant 2|8088|000; Destino: 21604
